Report_Num,Year,Occur_Date,Weekday,Location,Neighborho,Latitude,Longitude
190012351,2019,1/1/2019,Tuesday,2448 CHESHIRE BRIDGE RD NE,Lindridge/Martin Manor,33.82169,-84.35201
190011645,2019,1/1/2019,Tuesday,680 MCWILLIAMS RD SE @TULL WATER PARK,Lakewood,33.68883,-84.36607
190011276,2019,1/1/2019,Tuesday,201 16TH ST NW,Atlantic Station,33.79025,-84.39372
190010952,2019,1/1/2019,Tuesday,144 MAPLE ST NW,Vine City,33.75854,-84.40561
190020020,2019,1/2/2019,Wednesday,2898 GLENWOOD AVE SE,East Lake,33.73918,-84.29214
190020866,2019,1/2/2019,Wednesday,487 GRANT ST SE,Grant Park,33.74135,-84.3766
190020792,2019,1/2/2019,Wednesday,300 PEACHTREE ST NE,Downtown,33.76293,-84.38714
190021453,2019,1/2/2019,Wednesday,750 FRANCIS PL NW,Grove Park,33.77495,-84.43798
190032095,2019,1/3/2019,Thursday,1553 JONESBORO RD SE,South Atlanta,33.71059,-84.38209
190030190,2019,1/3/2019,Thursday,464 WINDSOR ST SW,Castleberry Hill,33.74348,-84.40341
190040743,2019,1/4/2019,Friday,2561 PIEDMONT RD NE,Lindbergh/Morosgo,33.82561,-84.36464
190061484,2019,1/4/2019,Friday,50 UPPER ALABAMA ST SW,Downtown,33.75223,-84.38978
190041290,2019,1/4/2019,Friday,1621 BREWER BLVD SW,Sylvan Hills,33.71055,-84.41717
190040499,2019,1/4/2019,Friday,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,Greenbriar,33.68677,-84.49773
190051425,2019,1/5/2019,Saturday,3440 PEACHTREE RD NE,North Buckhead,33.85248,-84.36058
190051678,2019,1/5/2019,Saturday,3651 PIEDMONT RD NE,North Buckhead,33.85419,-84.38236
190051577,2019,1/5/2019,Saturday,300 TED TURNER DR @ALOFT ATLANTA DOWNTOWN,Downtown,33.76273,-84.38912
190051912,2019,1/5/2019,Saturday,217 WALKER ST SW,Castleberry Hill,33.74878,-84.4024
190050891,2019,1/5/2019,Saturday,824 RALPH DAVID ABERNULLTHY BLVD,West End,33.73815,-84.41483
190061702,2019,1/6/2019,Sunday,908 PEACHTREE ST NE,Midtown,33.77938,-84.38433
190061272,2019,1/6/2019,Sunday,1240 W PEACHTREE ST NW,Midtown,33.78974,-84.38767
190061534,2019,1/6/2019,Sunday,2453 CORONET WAY NW,,33.8209,-84.44958
190061095,2019,1/6/2019,Sunday,195 FAIRBURN RD NW,Adamsville,33.76126,-84.50433
190072061,2019,1/7/2019,Monday,410 NORTH AVE NE,Old Fourth Ward,33.77127,-84.37382
190071882,2019,1/7/2019,Monday,198 AUBURN AVE,Downtown,33.75563,-84.3812
